Ticker,P/E,P/B,P/S,PEG,Dividend,Debt/Eq
ICE,42.37,2.68,6.24,6.70,1.54%,0.80
SHW,29.14,19.25,2.66,4.88,1.02%,3.50
UBER,-,8.48,1.88,-,-,1.26
GD,17.86,3.13,1.49,1.95,2.42%,0.55
BNS,9.38,1.22,1.99,5.52,6.15%,0.13
SCCO,22.51,7.35,5.81,-,5.21%,0.77
NTES,20.62,3.82,4.17,2.81,2.01%,0.26
MMM,11.01,3.84,1.74,57.93,5.65%,1.04
CHTR,11.99,6.20,1.07,0.68,-,10.70
SAN,5.44,0.57,0.64,-,3.49%,3.17
MNST,39.91,4.16,9.15,1.61,-,0.00
SMFG,8.89,0.61,2.50,1.41,12.39%,1.72
EPD,10.63,2.15,0.98,2.17,7.45%,1.06
MCO,40.49,19.86,10.54,-,0.98%,2.58
FDX,19.64,2.31,0.61,4.11,2.21%,0.82
CDNS,67.07,19.20,15.42,3.82,-,0.23
ORLY,26.51,-,3.80,2.55,-,-
CMG,55.93,23.01,6.26,2.10,-,0.00
SNPS,61.38,10.04,10.85,3.62,-,0.00
PANW,2369.61,75.71,9.10,77.55,-,5.05
HSY,35.84,16.18,5.20,3.83,1.52%,1.36
JD,38.08,1.82,0.36,1.40,1.74%,0.20
OXY,4.95,2.74,1.48,-,1.17%,0.98
MPC,4.29,2.04,0.30,-,2.46%,0.96
FCX,14.36,3.49,2.31,-,0.79%,0.68
TAK,25.25,1.12,1.81,315.64,6.37%,0.69
CCI,31.95,7.16,7.60,-,5.09%,2.92
VMW,40.58,34.73,3.99,3.74,-,6.84
KLAC,15.76,20.98,5.01,3.01,1.35%,0.00
E,3.45,0.86,0.36,0.18,6.10%,0.58
EW,36.61,9.29,9.56,3.75,-,0.10
NGG,14.31,1.62,2.02,2.70,4.36%,1.87
BN,27.67,1.29,0.56,1.50,0.86%,5.40
STLA,2.82,0.73,0.29,0.79,-,-
GIS,19.13,5.13,2.61,2.72,2.44%,1.13
PSA,12.55,9.03,12.29,0.74,4.07%,1.20
MAR,23.35,94.60,2.46,0.54,0.94%,17.72
PNC,9.41,1.16,3.31,0.86,4.61%,0.58
RACE,49.76,19.55,9.93,3.90,-,-
MRNA,6.66,2.70,2.60,-,-,0.06
USB,9.15,1.17,2.32,2.38,5.60%,0.87
MCK,16.67,-,0.18,1.40,0.59%,-
PXD,7.72,2.34,2.18,-,10.66%,0.27
FTNT,58.98,-,11.19,3.10,-,-
